koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1.0000,0,0,0,1.99820,9.7120e+02,2.34,1070.0,311.16,82.40,5005.00,4.595,0.7650,15.334
CANDIDATE,0.9930,0,0,0,0.55800,5.5640e+02,19.45,734.0,68.63,13.70,5005.00,4.595,0.7650,15.334
CANDIDATE,0.8710,0,0,0,3.13300,2.3200e+01,0.55,1272.0,617.61,8.70,5779.00,4.339,1.0870,12.791
CONFIRMED,1.0000,0,0,0,2.52370,2.8045e+03,2.65,396.0,5.82,71.00,3688.00,4.790,0.4730,15.937
CONFIRMED,1.0000,0,0,0,4.30840,2.7933e+03,5.31,1015.0,251.38,221.10,5992.00,4.415,0.9890,15.312
CONFIRMED,1.0000,0,0,0,7.53770,3.0010e+03,4.86,833.0,113.64,312.10,5485.00,4.556,0.8670,15.080
CONFIRMED,1.0000,0,0,0,2.75940,1.2198e+03,1.93,393.0,5.66,37.10,4077.00,4.702,0.5600,15.385
CONFIRMED,1.0000,0,0,0,1.36900,1.0533e+03,1.91,488.0,13.43,30.30,4077.00,4.702,0.5600,15.385
CONFIRMED,1.0000,0,0,0,3.88960,9.1660e+02,2.66,677.0,49.68,35.80,5557.00,4.603,0.7500,15.505
CONFIRMED,0.9980,0,0,0,6.80200,6.1520e+02,2.87,531.0,18.77,83.70,5854.00,4.406,1.0120,12.882
FALSE POSITIVE,0.0000,0,1,1,3.81300,7.2530e+02,21.55,1032.0,268.67,39.00,5295.00,4.551,0.8110,15.629
FALSE POSITIVE,0.7730,0,0,1,2.11450,1.6206e+03,32.43,1547.0,1355.88,103.60,5735.00,4.410,0.9730,15.279
CONFIRMED,1.0000,0,0,0,3.00990,8.3750e+02,3.12,1420.0,960.79,64.50,6214.00,4.442,1.0760,15.541
CONFIRMED,1.0000,0,0,0,4.04910,9.5040e+02,3.32,1025.0,260.58,51.50,6214.00,4.442,1.0760,15.541
FALSE POSITIVE,,0,0,0,2.50500,4.5990e+02,1.88,711.0,60.35,11.20,5799.00,4.539,0.8780,15.727
CONFIRMED,1.0000,0,0,0,2.72450,1.1235e+03,2.59,751.0,75.44,47.60,5354.00,4.587,0.7880,15.339
CONFIRMED,0.9890,0,0,0,5.03900,9.3130e+02,2.36,390.0,5.49,20.10,5354.00,4.587,0.7880,15.339
CONFIRMED,1.0000,0,0,0,5.14970,6.1056e+03,7.40,753.0,76.15,277.20,5795.00,4.508,0.9190,15.140
FALSE POSITIVE,0.0000,0,1,0,1.88680,1.9763e+03,46.58,1920.0,3209.29,112.60,6017.00,4.220,1.3390,15.122
FALSE POSITIVE,0.0000,0,1,1,3.83600,8.7170e+02,28.59,876.0,139.26,38.20,5927.00,4.409,1.0600,15.065
CONFIRMED,1.0000,0,0,0,2.42820,3.8210e+02,2.06,1332.0,743.09,38.90,5519.00,4.350,1.0620,15.026
CONFIRMED,1.0000,0,0,0,2.08440,1.3040e+03,2.77,812.0,102.87,50.80,5653.00,4.656,0.6790,15.591
FALSE POSITIVE,0.0000,0,1,1,2.07920,1.0967e+04,27.51,1836.0,2706.26,299.70,5255.00,4.678,0.6360,15.748
CANDIDATE,1.0000,0,0,0,3.50890,5.7411e+03,7.73,812.0,102.91,183.60,5988.00,4.541,0.8360,15.657
CONFIRMED,1.0000,0,0,0,3.32030,1.4947e+03,1.96,361.0,4.00,35.20,3950.00,4.754,0.4930,15.954
CONFIRMED,1.0000,0,0,0,4.75800,1.3947e+03,1.83,273.0,1.32,26.00,3950.00,4.754,0.4930,15.954
CONFIRMED,0.9520,0,0,0,5.35100,1.0400e+02,1.31,649.0,41.94,17.10,5854.00,4.406,1.0120,12.882
CONFIRMED,0.9940,0,0,0,2.18600,5.2080e+02,1.20,494.0,14.05,15.90,3950.00,4.754,0.4930,15.954
CONFIRMED,1.0000,0,0,0,2.31110,8.5448e+03,7.34,1005.0,241.62,370.80,5557.00,4.592,0.7740,15.725
CONFIRMED,0.9990,0,0,0,5.22800,9.8680e+02,2.32,536.0,19.45,32.10,5395.00,4.615,0.7340,15.583
CONFIRMED,1.0000,0,0,0,2.38963,7.9690e+03,9.73,1579.0,1467.41,799.70,5539.00,4.322,1.1060,15.001
CANDIDATE,1.0000,0,0,0,2.00380,2.1725e+04,13.60,643.0,40.39,340.50,5710.00,4.492,0.9050,15.562
FALSE POSITIVE,0.0000,1,0,1,6.22200,3.2260e+02,17.47,838.0,116.46,14.20,5657.00,4.567,0.8240,15.559
CONFIRMED,1.0000,0,0,0,3.14490,1.0198e+03,2.57,757.0,77.75,53.90,5349.00,4.526,0.8200,15.387
FALSE POSITIVE,0.0530,0,1,0,7.79150,1.6918e+04,13.28,843.0,119.31,636.80,5627.00,4.359,1.0240,15.646
